"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"R_min_price_policy","PUBLISHED","2018","EMR","AFG","Not applicable","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","AGO","Not applicable","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","ALB","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","AND","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EMR","ARE","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","ARG","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","ARM","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","ATG","Not applicable","","","",""
"R_min_price_policy","PUBLISHED","2018","WPR","AUS","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","AUT","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","AZE","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","BDI","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","BEL","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","BEN","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","BFA","No","","","",""
"R_min_price_policy","PUBLISHED","2018","SEAR","BGD","Yes","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","BGR","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EMR","BHR","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","BHS","Data not available","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","BIH","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","BLR","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","BLZ","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","BOL","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","BRA","Yes","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","BRB","No","","","",""
"R_min_price_policy","PUBLISHED","2018","WPR","BRN","Not applicable","","","",""
"R_min_price_policy","PUBLISHED","2018","SEAR","BTN","Not applicable","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","BWA","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","CAF","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","CAN","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","CHE","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","CHL","No","","","",""
"R_min_price_policy","PUBLISHED","2018","WPR","CHN","Yes","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","CIV","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","CMR","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","COD","Data not available","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","COG","No","","","",""
"R_min_price_policy","PUBLISHED","2018","WPR","COK","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","COL","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","COM","Data not available","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","CPV","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","CRI","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","CUB","Yes","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","CYP","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","CZE","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","DEU","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EMR","DJI","Data not available","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","DMA","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","DNK","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","DOM","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","DZA","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","ECU","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EMR","EGY","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","ERI","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","ESP","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","EST","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","ETH","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","FIN","No","","","",""
"R_min_price_policy","PUBLISHED","2018","WPR","FJI","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","FRA","No","","","",""
"R_min_price_policy","PUBLISHED","2018","WPR","FSM","Not applicable","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","GAB","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","GBR","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","GEO","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","GHA","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","GIN","Data not available","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","GMB","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","GNB","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AFR","GNQ","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","GRC","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","GRD","Data not available","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","GTM","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","GUY","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","HND","No","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","HRV","No","","","",""
"R_min_price_policy","PUBLISHED","2018","AMR","HTI","Data not available","","","",""
"R_min_price_policy","PUBLISHED","2018","EUR","HUN","No","","","",""
