"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"W5_top_side_A","PUBLISHED","2007","EMR","AFG","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2008","EMR","AFG","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2010","EMR","AFG","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2012","EMR","AFG","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2014","EMR","AFG","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2016","EMR","AFG","No","","","",""
"W5_top_side_A","PUBLISHED","2018","EMR","AFG","No","","","",""
"W5_top_side_A","PUBLISHED","2007","AFR","AGO","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2008","AFR","AGO","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2010","AFR","AGO","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2012","AFR","AGO","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2014","AFR","AGO","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2016","AFR","AGO","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2018","AFR","AGO","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2007","EUR","ALB","No","","","",""
"W5_top_side_A","PUBLISHED","2008","EUR","ALB","No","","","",""
"W5_top_side_A","PUBLISHED","2010","EUR","ALB","No","","","",""
"W5_top_side_A","PUBLISHED","2012","EUR","ALB","No","","","",""
"W5_top_side_A","PUBLISHED","2014","EUR","ALB","No","","","",""
"W5_top_side_A","PUBLISHED","2016","EUR","ALB","No","","","",""
"W5_top_side_A","PUBLISHED","2018","EUR","ALB","No","","","",""
"W5_top_side_A","PUBLISHED","2007","EUR","AND","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2008","EUR","AND","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2010","EUR","AND","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2012","EUR","AND","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2014","EUR","AND","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2016","EUR","AND","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2018","EUR","AND","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2007","EMR","ARE","No","","","",""
"W5_top_side_A","PUBLISHED","2008","EMR","ARE","No","","","",""
"W5_top_side_A","PUBLISHED","2010","EMR","ARE","No","","","",""
"W5_top_side_A","PUBLISHED","2012","EMR","ARE","No","","","",""
"W5_top_side_A","PUBLISHED","2014","EMR","ARE","No","","","",""
"W5_top_side_A","PUBLISHED","2016","EMR","ARE","No","","","",""
"W5_top_side_A","PUBLISHED","2018","EMR","ARE","No","","","",""
"W5_top_side_A","PUBLISHED","2007","AMR","ARG","No","","","",""
"W5_top_side_A","PUBLISHED","2008","AMR","ARG","No","","","",""
"W5_top_side_A","PUBLISHED","2010","AMR","ARG","No","","","",""
"W5_top_side_A","PUBLISHED","2012","AMR","ARG","No","","","",""
"W5_top_side_A","PUBLISHED","2014","AMR","ARG","No","","","",""
"W5_top_side_A","PUBLISHED","2016","AMR","ARG","No","","","",""
"W5_top_side_A","PUBLISHED","2018","AMR","ARG","No","","","",""
"W5_top_side_A","PUBLISHED","2007","EUR","ARM","No","","","",""
"W5_top_side_A","PUBLISHED","2008","EUR","ARM","No","","","",""
"W5_top_side_A","PUBLISHED","2010","EUR","ARM","No","","","",""
"W5_top_side_A","PUBLISHED","2012","EUR","ARM","No","","","",""
"W5_top_side_A","PUBLISHED","2014","EUR","ARM","No","","","",""
"W5_top_side_A","PUBLISHED","2016","EUR","ARM","No","","","",""
"W5_top_side_A","PUBLISHED","2018","EUR","ARM","No","","","",""
"W5_top_side_A","PUBLISHED","2007","AMR","ATG","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2008","AMR","ATG","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2010","AMR","ATG","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2012","AMR","ATG","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2014","AMR","ATG","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2016","AMR","ATG","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2018","AMR","ATG","Yes","","","",""
"W5_top_side_A","PUBLISHED","2007","WPR","AUS","Yes","","","",""
"W5_top_side_A","PUBLISHED","2008","WPR","AUS","Yes","","","",""
"W5_top_side_A","PUBLISHED","2010","WPR","AUS","Yes","","","",""
"W5_top_side_A","PUBLISHED","2012","WPR","AUS","Yes","","","",""
"W5_top_side_A","PUBLISHED","2014","WPR","AUS","Yes","","","",""
"W5_top_side_A","PUBLISHED","2016","WPR","AUS","Yes","","","",""
"W5_top_side_A","PUBLISHED","2018","WPR","AUS","Yes","","","",""
"W5_top_side_A","PUBLISHED","2007","EUR","AUT","No","","","",""
"W5_top_side_A","PUBLISHED","2008","EUR","AUT","No","","","",""
"W5_top_side_A","PUBLISHED","2010","EUR","AUT","No","","","",""
"W5_top_side_A","PUBLISHED","2012","EUR","AUT","No","","","",""
"W5_top_side_A","PUBLISHED","2014","EUR","AUT","No","","","",""
"W5_top_side_A","PUBLISHED","2016","EUR","AUT","Yes","","","",""
"W5_top_side_A","PUBLISHED","2018","EUR","AUT","Yes","","","",""
"W5_top_side_A","PUBLISHED","2007","EUR","AZE","No","","","",""
"W5_top_side_A","PUBLISHED","2008","EUR","AZE","No","","","",""
"W5_top_side_A","PUBLISHED","2010","EUR","AZE","No","","","",""
"W5_top_side_A","PUBLISHED","2012","EUR","AZE","No","","","",""
"W5_top_side_A","PUBLISHED","2014","EUR","AZE","No","","","",""
"W5_top_side_A","PUBLISHED","2016","EUR","AZE","No","","","",""
"W5_top_side_A","PUBLISHED","2018","EUR","AZE","No","","","",""
"W5_top_side_A","PUBLISHED","2007","AFR","BDI","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2008","AFR","BDI","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2010","AFR","BDI","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2012","AFR","BDI","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2014","AFR","BDI","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2016","AFR","BDI","Not applicable","","","",""
"W5_top_side_A","PUBLISHED","2018","AFR","BDI","No","","","",""
"W5_top_side_A","PUBLISHED","2007","EUR","BEL","No","","","",""
"W5_top_side_A","PUBLISHED","2008","EUR","BEL","No","","","",""
"W5_top_side_A","PUBLISHED","2010","EUR","BEL","No","","","",""
"W5_top_side_A","PUBLISHED","2012","EUR","BEL","No","","","",""
"W5_top_side_A","PUBLISHED","2014","EUR","BEL","No","","","",""
"W5_top_side_A","PUBLISHED","2016","EUR","BEL","Yes","","","",""
"W5_top_side_A","PUBLISHED","2018","EUR","BEL","Yes","","","",""
"W5_top_side_A","PUBLISHED","2007","AFR","BEN","No","","","",""
"W5_top_side_A","PUBLISHED","2008","AFR","BEN","No","","","",""
"W5_top_side_A","PUBLISHED","2010","AFR","BEN","No","","","",""
"W5_top_side_A","PUBLISHED","2012","AFR","BEN","No","","","",""
"W5_top_side_A","PUBLISHED","2014","AFR","BEN","No","","","",""
"W5_top_side_A","PUBLISHED","2016","AFR","BEN","No","","","",""
"W5_top_side_A","PUBLISHED","2018","AFR","BEN","No","","","",""
"W5_top_side_A","PUBLISHED","2007","AFR","BFA","No","","","",""
"W5_top_side_A","PUBLISHED","2008","AFR","BFA","No","","","",""
"W5_top_side_A","PUBLISHED","2010","AFR","BFA","No","","","",""
"W5_top_side_A","PUBLISHED","2012","AFR","BFA","Yes","","","",""
"W5_top_side_A","PUBLISHED","2014","AFR","BFA","Yes","","","",""
"W5_top_side_A","PUBLISHED","2016","AFR","BFA","Yes","","","",""
"W5_top_side_A","PUBLISHED","2018","AFR","BFA","Yes","","","",""
"W5_top_side_A","PUBLISHED","2007","SEAR","BGD","Yes","","","",""
"W5_top_side_A","PUBLISHED","2008","SEAR","BGD","Yes","","","",""
"W5_top_side_A","PUBLISHED","2010","SEAR","BGD","Yes","","","",""
"W5_top_side_A","PUBLISHED","2012","SEAR","BGD","Yes","","","",""
"W5_top_side_A","PUBLISHED","2014","SEAR","BGD","Yes","","","",""
"W5_top_side_A","PUBLISHED","2016","SEAR","BGD","No","","","",""
"W5_top_side_A","PUBLISHED","2018","SEAR","BGD","Yes","","","",""
"W5_top_side_A","PUBLISHED","2007","EUR","BGR","No","","","",""
"W5_top_side_A","PUBLISHED","2008","EUR","BGR","No","","","",""
"W5_top_side_A","PUBLISHED","2010","EUR","BGR","No","","","",""
"W5_top_side_A","PUBLISHED","2012","EUR","BGR","No","","","",""
"W5_top_side_A","PUBLISHED","2014","EUR","BGR","No","","","",""
"W5_top_side_A","PUBLISHED","2016","EUR","BGR","Yes","","","",""
