"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"E3_nat_print","PUBLISHED","2007","EMR","AFG","Yes","","","",""
"E3_nat_print","PUBLISHED","2008","EMR","AFG","Yes","","","",""
"E3_nat_print","PUBLISHED","2010","EMR","AFG","Yes","","","",""
"E3_nat_print","PUBLISHED","2012","EMR","AFG","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","EMR","AFG","Yes","","","",""
"E3_nat_print","PUBLISHED","2016","EMR","AFG","Yes","","","",""
"E3_nat_print","PUBLISHED","2018","EMR","AFG","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","AFR","AGO","No","","","",""
"E3_nat_print","PUBLISHED","2008","AFR","AGO","No","","","",""
"E3_nat_print","PUBLISHED","2010","AFR","AGO","No","","","",""
"E3_nat_print","PUBLISHED","2012","AFR","AGO","No","","","",""
"E3_nat_print","PUBLISHED","2014","AFR","AGO","No","","","",""
"E3_nat_print","PUBLISHED","2016","AFR","AGO","No","","","",""
"E3_nat_print","PUBLISHED","2018","AFR","AGO","No","","","",""
"E3_nat_print","PUBLISHED","2007","EUR","ALB","Yes","","","",""
"E3_nat_print","PUBLISHED","2008","EUR","ALB","Yes","","","",""
"E3_nat_print","PUBLISHED","2010","EUR","ALB","Yes","","","",""
"E3_nat_print","PUBLISHED","2012","EUR","ALB","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","EUR","ALB","Yes","","","",""
"E3_nat_print","PUBLISHED","2016","EUR","ALB","Yes","","","",""
"E3_nat_print","PUBLISHED","2018","EUR","ALB","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","EUR","AND","No","","","",""
"E3_nat_print","PUBLISHED","2008","EUR","AND","No","","","",""
"E3_nat_print","PUBLISHED","2010","EUR","AND","No","","","",""
"E3_nat_print","PUBLISHED","2012","EUR","AND","No","","","",""
"E3_nat_print","PUBLISHED","2014","EUR","AND","No","","","",""
"E3_nat_print","PUBLISHED","2016","EUR","AND","No","","","",""
"E3_nat_print","PUBLISHED","2018","EUR","AND","No","","","",""
"E3_nat_print","PUBLISHED","2007","EMR","ARE","Yes","","","",""
"E3_nat_print","PUBLISHED","2008","EMR","ARE","Yes","","","",""
"E3_nat_print","PUBLISHED","2010","EMR","ARE","Yes","","","",""
"E3_nat_print","PUBLISHED","2012","EMR","ARE","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","EMR","ARE","Yes","","","",""
"E3_nat_print","PUBLISHED","2016","EMR","ARE","Yes","","","",""
"E3_nat_print","PUBLISHED","2018","EMR","ARE","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","AMR","ARG","No","","","",""
"E3_nat_print","PUBLISHED","2008","AMR","ARG","No","","","",""
"E3_nat_print","PUBLISHED","2010","AMR","ARG","No","","","",""
"E3_nat_print","PUBLISHED","2012","AMR","ARG","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","AMR","ARG","Yes","","","",""
"E3_nat_print","PUBLISHED","2016","AMR","ARG","Yes","","","",""
"E3_nat_print","PUBLISHED","2018","AMR","ARG","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","EUR","ARM","No","","","",""
"E3_nat_print","PUBLISHED","2008","EUR","ARM","No","","","",""
"E3_nat_print","PUBLISHED","2010","EUR","ARM","No","","","",""
"E3_nat_print","PUBLISHED","2012","EUR","ARM","No","","","",""
"E3_nat_print","PUBLISHED","2014","EUR","ARM","No","","","",""
"E3_nat_print","PUBLISHED","2016","EUR","ARM","No","","","",""
"E3_nat_print","PUBLISHED","2018","EUR","ARM","No","","","",""
"E3_nat_print","PUBLISHED","2007","AMR","ATG","No","","","",""
"E3_nat_print","PUBLISHED","2008","AMR","ATG","No","","","",""
"E3_nat_print","PUBLISHED","2010","AMR","ATG","No","","","",""
"E3_nat_print","PUBLISHED","2012","AMR","ATG","No","","","",""
"E3_nat_print","PUBLISHED","2014","AMR","ATG","No","","","",""
"E3_nat_print","PUBLISHED","2016","AMR","ATG","No","","","",""
"E3_nat_print","PUBLISHED","2018","AMR","ATG","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","WPR","AUS","Yes","","","",""
"E3_nat_print","PUBLISHED","2008","WPR","AUS","Yes","","","",""
"E3_nat_print","PUBLISHED","2010","WPR","AUS","Yes","","","",""
"E3_nat_print","PUBLISHED","2012","WPR","AUS","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","WPR","AUS","Yes","","","",""
"E3_nat_print","PUBLISHED","2016","WPR","AUS","Yes","","","",""
"E3_nat_print","PUBLISHED","2018","WPR","AUS","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","EUR","AUT","Yes","","","",""
"E3_nat_print","PUBLISHED","2008","EUR","AUT","Yes","","","",""
"E3_nat_print","PUBLISHED","2010","EUR","AUT","Yes","","","",""
"E3_nat_print","PUBLISHED","2012","EUR","AUT","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","EUR","AUT","Yes","","","",""
"E3_nat_print","PUBLISHED","2016","EUR","AUT","Yes","","","",""
"E3_nat_print","PUBLISHED","2018","EUR","AUT","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","EUR","AZE","Yes","","","",""
"E3_nat_print","PUBLISHED","2008","EUR","AZE","Yes","","","",""
"E3_nat_print","PUBLISHED","2010","EUR","AZE","Yes","","","",""
"E3_nat_print","PUBLISHED","2012","EUR","AZE","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","EUR","AZE","Yes","","","",""
"E3_nat_print","PUBLISHED","2016","EUR","AZE","Yes","","","",""
"E3_nat_print","PUBLISHED","2018","EUR","AZE","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","AFR","BDI","No","","","",""
"E3_nat_print","PUBLISHED","2008","AFR","BDI","No","","","",""
"E3_nat_print","PUBLISHED","2010","AFR","BDI","No","","","",""
"E3_nat_print","PUBLISHED","2012","AFR","BDI","No","","","",""
"E3_nat_print","PUBLISHED","2014","AFR","BDI","No","","","",""
"E3_nat_print","PUBLISHED","2016","AFR","BDI","No","","","",""
"E3_nat_print","PUBLISHED","2018","AFR","BDI","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","EUR","BEL","Yes","","","",""
"E3_nat_print","PUBLISHED","2008","EUR","BEL","Yes","","","",""
"E3_nat_print","PUBLISHED","2010","EUR","BEL","Yes","","","",""
"E3_nat_print","PUBLISHED","2012","EUR","BEL","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","EUR","BEL","Yes","","","",""
"E3_nat_print","PUBLISHED","2016","EUR","BEL","Yes","","","",""
"E3_nat_print","PUBLISHED","2018","EUR","BEL","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","AFR","BEN","Yes","","","",""
"E3_nat_print","PUBLISHED","2008","AFR","BEN","Yes","","","",""
"E3_nat_print","PUBLISHED","2010","AFR","BEN","Yes","","","",""
"E3_nat_print","PUBLISHED","2012","AFR","BEN","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","AFR","BEN","Yes","","","",""
"E3_nat_print","PUBLISHED","2016","AFR","BEN","Yes","","","",""
"E3_nat_print","PUBLISHED","2018","AFR","BEN","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","AFR","BFA","Yes","","","",""
"E3_nat_print","PUBLISHED","2008","AFR","BFA","Yes","","","",""
"E3_nat_print","PUBLISHED","2010","AFR","BFA","Yes","","","",""
"E3_nat_print","PUBLISHED","2012","AFR","BFA","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","AFR","BFA","Yes","","","",""
"E3_nat_print","PUBLISHED","2016","AFR","BFA","Yes","","","",""
"E3_nat_print","PUBLISHED","2018","AFR","BFA","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","SEAR","BGD","Yes","","","",""
"E3_nat_print","PUBLISHED","2008","SEAR","BGD","Yes","","","",""
"E3_nat_print","PUBLISHED","2010","SEAR","BGD","Yes","","","",""
"E3_nat_print","PUBLISHED","2012","SEAR","BGD","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","SEAR","BGD","Yes","","","",""
"E3_nat_print","PUBLISHED","2016","SEAR","BGD","Yes","","","",""
"E3_nat_print","PUBLISHED","2018","SEAR","BGD","Yes","","","",""
"E3_nat_print","PUBLISHED","2007","EUR","BGR","Yes","","","",""
"E3_nat_print","PUBLISHED","2008","EUR","BGR","Yes","","","",""
"E3_nat_print","PUBLISHED","2010","EUR","BGR","Yes","","","",""
"E3_nat_print","PUBLISHED","2012","EUR","BGR","Yes","","","",""
"E3_nat_print","PUBLISHED","2014","EUR","BGR","Yes","","","",""
