"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"E21a_direct_ad_fines","PUBLISHED","2007","EMR","AFG","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","EMR","AFG","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","EMR","AFG","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","EMR","AFG","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","EMR","AFG","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","EMR","AFG","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","EMR","AFG","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","AFR","AGO","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","AFR","AGO","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","AFR","AGO","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","AFR","AGO","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","AFR","AGO","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","AFR","AGO","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","AFR","AGO","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","EUR","ALB","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","EUR","ALB","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","EUR","ALB","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","EUR","ALB","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","EUR","ALB","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","EUR","ALB","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","EUR","ALB","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","EUR","AND","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","EUR","AND","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","EUR","AND","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","EUR","AND","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","EUR","AND","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","EUR","AND","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","EUR","AND","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","EMR","ARE","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","EMR","ARE","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","EMR","ARE","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","EMR","ARE","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","EMR","ARE","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","EMR","ARE","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","EMR","ARE","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","AMR","ARG","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","AMR","ARG","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","AMR","ARG","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","AMR","ARG","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","AMR","ARG","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","AMR","ARG","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","AMR","ARG","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","EUR","ARM","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","EUR","ARM","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","EUR","ARM","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","EUR","ARM","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","EUR","ARM","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","EUR","ARM","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","EUR","ARM","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","AMR","ATG","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","AMR","ATG","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","AMR","ATG","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","AMR","ATG","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","AMR","ATG","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","AMR","ATG","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","AMR","ATG","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","WPR","AUS","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","WPR","AUS","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","WPR","AUS","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","WPR","AUS","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","WPR","AUS","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","WPR","AUS","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","WPR","AUS","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","EUR","AUT","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","EUR","AUT","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","EUR","AUT","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","EUR","AUT","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","EUR","AUT","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","EUR","AUT","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","EUR","AUT","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","EUR","AZE","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","EUR","AZE","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","EUR","AZE","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","EUR","AZE","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","EUR","AZE","No","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","EUR","AZE","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","EUR","AZE","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","AFR","BDI","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","AFR","BDI","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2010","AFR","BDI","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2012","AFR","BDI","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2014","AFR","BDI","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2016","AFR","BDI","Not applicable","","","",""
"E21a_direct_ad_fines","PUBLISHED","2018","AFR","BDI","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2007","EUR","BEL","Yes","","","",""
"E21a_direct_ad_fines","PUBLISHED","2008","EUR","BEL","Yes","","","",""
