"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"IR_PYRETHROID_PRESENCE","PUBLISHED","2012","SEAR","BGD","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","AFR","BEN","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2012","AFR","BEN","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","AMR","BOL","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2012","AMR","BRA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2010","AFR","BFA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2011","AFR","BFA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2012","AFR","BFA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","AFR","BFA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","AFR","CMR","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2003","AFR","CMR","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2010","WPR","CHN","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AMR","COL","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","AFR","CIV","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2012","AFR","COD","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2012","AFR","ETH","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2004","AFR","GHA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2011","AFR","GHA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","SEAR","IND","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","AFR","KEN","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2010","AFR","KEN","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","AFR","LBR","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AFR","MDG","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","AFR","MDG","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2012","AFR","MWI","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","AFR","MLI","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2010","AFR","MLI","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","AFR","MOZ","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2011","AFR","RWA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2012","AFR","RWA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","AFR","RWA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2010","EMR","SOM","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2008","SEAR","LKA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","EMR","SDN","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","AFR","TGO","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2012","AFR","TZA","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","WPR","VNM","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","AFR","ZMB","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2011","AFR","ZMB","Yes","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","EMR","AFG","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","EMR","AFG","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2005","AFR","DZA","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AFR","DZA","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2008","AFR","DZA","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","AFR","AGO","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2005","AFR","AGO","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","AMR","ARG","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","AMR","ARG","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","EUR","AZE","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","EUR","AZE","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","SEAR","BGD","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2010","SEAR","BGD","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2011","SEAR","BGD","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","SEAR","BGD","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2004","AMR","BLZ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2005","AMR","BLZ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AMR","BLZ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","AMR","BLZ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","AMR","BLZ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","AFR","BEN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","SEAR","BTN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2010","AMR","BOL","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2008","AFR","BWA","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","AMR","BRA","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","AMR","BRA","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2010","AMR","BRA","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","AFR","BDI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","AFR","CPV","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","AFR","CPV","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2011","AFR","CPV","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","WPR","KHM","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","WPR","KHM","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","WPR","KHM","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2011","AFR","CMR","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2004","AFR","CAF","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AFR","CAF","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2012","AFR","CAF","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","AMR","COL","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2008","AMR","COL","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AFR","COM","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","AFR","COM","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","AFR","COM","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","AFR","COG","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2012","AFR","COG","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","AMR","CRI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2005","AFR","CIV","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2004","SEAR","PRK","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","AFR","COD","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2003","AFR","COD","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2005","AFR","COD","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","EMR","DJI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","EMR","DJI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2008","EMR","DJI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","EMR","DJI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","AMR","ECU","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","AMR","ECU","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","AMR","SLV","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","AFR","GNQ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","AFR","GNQ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","AFR","GNQ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","AFR","GNQ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2011","AFR","GNQ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2003","AFR","ETH","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","AFR","GAB","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","AFR","GAB","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2011","AFR","GAB","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2004","AFR","GMB","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2005","AFR","GMB","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AMR","GTM","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2008","AMR","GTM","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","AMR","GTM","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2004","AFR","GIN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2005","AFR","GIN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","AFR","GIN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","AFR","GIN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AFR","GNB","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","AMR","GUY","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2010","AMR","HTI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2011","AMR","HTI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2004","AMR","HND","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2005","AMR","HND","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","AMR","HND","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2003","SEAR","IND","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2011","SEAR","IND","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","EMR","IRN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","AFR","KEN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2008","AFR","KEN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","EUR","KGZ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2008","EUR","KGZ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","WPR","LAO","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","AFR","LBR","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","AFR","LBR","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2003","AFR","LBR","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2008","AFR","LBR","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","AFR","MDG","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","AFR","MWI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2003","AFR","MWI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2009","WPR","MYS","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","AFR","MLI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2008","AFR","MLI","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AFR","MRT","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","AFR","MRT","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AMR","MEX","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2005","AFR","MOZ","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","SEAR","MMR","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2005","AFR","NAM","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2008","AFR","NAM","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2003","SEAR","NPL","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","AMR","NIC","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2005","AFR","NER","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AFR","NER","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","AFR","NGA","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","EMR","PAK","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2003","AMR","PAN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2004","AMR","PAN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","AMR","PAN","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","WPR","PNG","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2002","WPR","PNG","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","WPR","PNG","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2003","AMR","PRY","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2013","AMR","PRY","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2006","AMR","PER","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2007","AMR","PER","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2000","WPR","PHL","Not tested/reported","","","",""
"IR_PYRETHROID_PRESENCE","PUBLISHED","2001","WPR","KOR","Not tested/reported","","","",""
