"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTCP_govt_obj","PUBLISHED","2007","EMR","AFG","Data not available","","","",""
"NTCP_govt_obj","PUBLISHED","2008","EMR","AFG","No","","","",""
"NTCP_govt_obj","PUBLISHED","2010","EMR","AFG","No","","","",""
"NTCP_govt_obj","PUBLISHED","2012","EMR","AFG","No","","","",""
"NTCP_govt_obj","PUBLISHED","2014","EMR","AFG","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2016","EMR","AFG","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2018","EMR","AFG","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2007","AFR","AGO","Data not available","","","",""
"NTCP_govt_obj","PUBLISHED","2008","AFR","AGO","No","","","",""
"NTCP_govt_obj","PUBLISHED","2010","AFR","AGO","No","","","",""
"NTCP_govt_obj","PUBLISHED","2012","AFR","AGO","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2014","AFR","AGO","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2016","AFR","AGO","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2018","AFR","AGO","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2007","EUR","ALB","Data not available","","","",""
"NTCP_govt_obj","PUBLISHED","2008","EUR","ALB","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2010","EUR","ALB","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2012","EUR","ALB","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2014","EUR","ALB","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2016","EUR","ALB","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2018","EUR","ALB","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2007","EUR","AND","Data not available","","","",""
"NTCP_govt_obj","PUBLISHED","2008","EUR","AND","No","","","",""
"NTCP_govt_obj","PUBLISHED","2010","EUR","AND","No","","","",""
"NTCP_govt_obj","PUBLISHED","2012","EUR","AND","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2014","EUR","AND","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2016","EUR","AND","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2018","EUR","AND","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2007","EMR","ARE","Data not available","","","",""
"NTCP_govt_obj","PUBLISHED","2008","EMR","ARE","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2010","EMR","ARE","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2012","EMR","ARE","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2014","EMR","ARE","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2016","EMR","ARE","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2018","EMR","ARE","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2007","AMR","ARG","Data not available","","","",""
"NTCP_govt_obj","PUBLISHED","2008","AMR","ARG","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2010","AMR","ARG","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2012","AMR","ARG","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2014","AMR","ARG","Yes","","","",""
"NTCP_govt_obj","PUBLISHED","2016","AMR","ARG","Yes","","","",""
