"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"E15_sponsored_events","PUBLISHED","2014","AFR","DZA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","AGO","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","BEN","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","BWA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","BDI","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","CPV","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","CAF","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","COM","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","CIV","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","COD","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","GNQ","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","ETH","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","GAB","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","GMB","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","GNB","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","LSO","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","LBR","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","MWI","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","MRT","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","MOZ","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","NGA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","RWA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","STP","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","SLE","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","ZAF","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","SSD","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","UGA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","TZA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","ZMB","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","ZWE","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","ATG","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","BHS","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","BRB","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","BLZ","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","CHL","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","CUB","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","DMA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","DOM","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","GRD","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","GTM","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","GUY","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","HTI","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","HND","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","JAM","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","NIC","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","PRY","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","PER","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","KNA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","LCA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","VCT","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","USA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","VEN","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","AFG","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","EGY","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","IRQ","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","JOR","No","","","","Data not approved by national authorities"
"E15_sponsored_events","PUBLISHED","2014","EMR","KWT","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","MAR","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","OMN","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","PAK","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","QAT","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","SAU","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","SOM","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","SDN","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","SYR","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","TUN","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","AND","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","ARM","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","AZE","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","BLR","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","BGR","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","CZE","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","EST","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","DEU","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","GRC","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","IRL","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","ISR","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","ITA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","KAZ","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","LVA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","LTU","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","MLT","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","MCO","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","POL","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","ROU","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","SMR","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","SRB","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","SWE","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","CHE","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","GBR","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","SEAR","BGD","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","SEAR","PRK","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","SEAR","IND","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","SEAR","IDN","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","SEAR","LKA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","SEAR","THA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","SEAR","TLS","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","AUS","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","KHM","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","CHN","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","JPN","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","MYS","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","MHL","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","FSM","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","NZL","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","NIU","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","PNG","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","PHL","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","KOR","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","SGP","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","SLB","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","VNM","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","BFA","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","CMR","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","TCD","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","COG","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","ERI","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","GHA","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","GIN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","KEN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","MDG","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","TGO","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","ARG","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","COL","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","CRI","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","ECU","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","SLV","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","PAN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","URY","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","BHR","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","DJI","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","IRN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","LBN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","LBY","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","ARE","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EMR","YEM","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","ALB","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","HRV","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","FRA","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","GEO","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","ISL","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","KGZ","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","NLD","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","MDA","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","RUS","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","PRT","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","NOR","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","MNE","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","LUX","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","HUN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","TUR","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","FIN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","DNK","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","CYP","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","SEAR","BTN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","SEAR","MDV","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","BIH","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","SEAR","NPL","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","BEL","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","COK","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","AUT","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","TTO","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","SUR","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","MEX","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","CAN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","BRA","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AMR","BOL","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","NER","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","NAM","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","MUS","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","DZA","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","AGO","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","BEN","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","BWA","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","MLI","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","CPV","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","CAF","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","COM","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","CIV","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","COD","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","GNQ","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","ETH","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","GAB","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","GMB","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","SVK","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","LSO","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","LBR","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","MWI","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","MRT","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","MOZ","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","NGA","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","RWA","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","STP","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","SEN","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","SLE","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","ZAF","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","SSD","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","SWZ","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","UGA","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","TZA","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","ZMB","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AFR","ZWE","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","ATG","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","WPR","BRN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","BRB","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","BLZ","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","CHL","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","CUB","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","DMA","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","DOM","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","GRD","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","GTM","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","GUY","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","HTI","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","HND","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","JAM","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","NIC","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","PRY","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","PER","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","KNA","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","LCA","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","VCT","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","SUR","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","USA","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","AMR","VEN","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EMR","AFG","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","SWZ","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","SYC","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2012","EMR","JOR","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EMR","KWT","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EMR","MAR","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EMR","OMN","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","AFR","SEN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","SVN","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2012","EMR","SAU","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EMR","SOM","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","ESP","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","TJK","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2012","EMR","TUN","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","MKD","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","AND","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","ARM","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","AZE","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","BLR","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","BGR","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","CZE","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","EST","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","DEU","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","GRC","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","IRL","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","ISR","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","ITA","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","KAZ","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","LVA","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","LTU","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","MLT","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","MCO","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","NOR","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","POL","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","ROU","No","","","",""
"E15_sponsored_events","PUBLISHED","2014","EUR","TKM","Yes","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","SMR","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","SRB","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","SWE","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","CHE","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","TKM","No","","","",""
"E15_sponsored_events","PUBLISHED","2012","EUR","GBR","No","","","",""
